年月,順位,楽曲名,披露回数(全体),最初,中盤,終盤
2025-06,1,ぽっぽ♪ポジティブ！！,12,3,5,4
2025-06,2,ろりぽっぷ!!!!!!!,10,5,2,3
2025-06,3,始まりの宴!!!!!!!,9,2,3,4
2025-06,4,MY DREAM MY LIFE,8,0,7,1
2025-06,5,HELLO,7,2,5,0
2025-06,5,Say Hello!!,7,1,5,1
2025-06,7,むげんの☆Lambie,6,1,5,0
2025-06,8,SHINY DAYS,5,0,3,2
2025-06,9,KAWAIIは正義,4,1,2,1
2025-06,10,推し事～女の子アイドルオタクあるある〜,3,1,2,0
2025-07,1,ぽっぽ♪ポジティブ！！,15,1,12,2
2025-07,2,始まりの宴!!!!!!!,12,3,5,4
2025-07,3,ろりぽっぷ!!!!!!!,9,5,1,3
2025-07,4,HELLO,7,1,6,0
2025-07,4,SHINY DAYS,7,1,3,3
2025-07,4,乙女ロック,7,0,3,4
2025-07,7,Say Hello!!,6,2,4,0
2025-07,7,むげんの☆Lambie,6,2,4,0
2025-07,7,推し事～女の子アイドルオタクあるある〜,6,0,6,0
2025-07,10,MY DREAM MY LIFE,5,0,5,0
2025-07,10,BLIND CALL,5,0,5,0
2025-07,12,KAWAIIは正義,4,1,3,0
2025-08,1,ろりぽっぷ!!!!!!!,13,6,3,4
2025-08,2,ぽっぽ♪ポジティブ！！,11,0,8,3
2025-08,3,乙女ロック,10,3,6,1
2025-08,4,始まりの宴!!!!!!!,8,2,2,4
2025-08,5,HELLO,6,1,2,3
2025-08,5,SHINY DAYS,6,0,6,0
2025-08,7,むげんの☆Lambie,5,1,3,1
2025-08,7,BLIND CALL,5,1,4,0
2025-08,7,Say Hello!!,5,1,4,0
2025-08,7,推し事～女の子アイドルオタクあるある〜,5,0,5,0
2025-08,11,MY DREAM MY LIFE,4,0,4,0
2025-08,12,KAWAIIは正義,3,1,2,0
2025-09,1,乙女ロック,10,2,7,1
2025-09,2,始まりの宴!!!!!!!,9,4,3,2
2025-09,2,アタックサイン,9,1,6,2
2025-09,4,ろりぽっぷ!!!!!!!,8,4,2,2
2025-09,5,ぽっぽ♪ポジティブ！！,7,1,4,2
2025-09,5,SHINY DAYS,7,0,3,4
2025-09,7,HELLO,5,2,2,1
2025-09,7,MY DREAM MY LIFE,5,1,4,0
2025-09,9,BLIND CALL,4,0,4,0
2025-09,9,Say Hello!!,4,0,4,0
2025-09,11,推し事～女の子アイドルオタクあるある〜,3,0,3,0
2025-09,11,むげんの☆Lambie,3,0,2,1
2025-09,13,KAWAIIは正義,1,0,1,0
2025-09,13,MADOROMI,1,0,1,0
2025-10,1,Unknown,14,1,12,1
2025-10,2,始まりの宴!!!!!!!,11,4,2,5
2025-10,3,ぽっぽ♪ポジティブ！！,9,1,5,3
2025-10,4,ろりぽっぷ!!!!!!!,8,5,1,2
2025-10,5,乙女ロック,7,1,6,0
2025-10,6,推し事～女の子アイドルオタクあるある〜,6,0,6,0
2025-10,6,キミノセイ、,6,0,4,2
2025-10,8,アタックサイン,5,0,3,2
2025-10,8,SHINY DAYS,5,0,4,1
2025-10,10,MY DREAM MY LIFE,4,1,3,0
2025-10,10,END THE WORLD,4,1,2,1
2025-10,12,HELLO,3,1,2,0
2025-10,12,MADOROMI,3,1,1,1
2025-10,12,BLIND CALL,3,0,3,0
2025-10,15,Say Hello!!,2,1,1,0
2025-10,15,むげんの☆Lambie,2,0,2,0
2025-10,17,KAWAIIは正義,1,1,0,0
2025-11,1,HELLO,3,2,0,1
2025-11,1,始まりの宴!!!!!!!,3,1,0,2
2025-11,1,ろりぽっぷ!!!!!!!,3,1,0,2
2025-11,1,Unknown,3,0,3,0
2025-11,1,ぽっぽ♪ポジティブ！！,3,0,2,1
2025-11,6,キミノセイ、,2,1,1,0
2025-11,6,アタックサイン,2,1,1,0
2025-11,6,BLIND CALL,2,1,1,0
2025-11,9,Say Hello!!,1,1,0,0
2025-11,9,MADOROMI,1,0,1,0
2025-11,9,推し事～女の子アイドルオタクあるある〜,1,0,1,0
2025-11,9,SHINY DAYS,1,0,0,1
2025-11,9,乙女ロック,1,0,1,0
2025-11,9,MY DREAM MY LIFE,1,0,1,0
2025-11,9,END THE WORLD,1,0,1,0
2025-11,9,むげんの☆Lambie,1,0,0,1
2025-12,1,主人公!!!!!!!,7,2,0,5
2025-12,1,Unknown,7,2,5,0
2025-12,3,始まりの宴!!!!!!!,6,2,1,3
2025-12,3,Singularity,6,1,5,0
2025-12,3,約束!!!!!!!,6,1,2,3
2025-12,3,END THE WORLD,6,0,5,1
2025-12,7,アタックサイン,5,1,4,0
2025-12,7,ぽっぽ♪ポジティブ！！,5,0,4,1
2025-12,9,乙女ロック,4,2,1,1
2025-12,9,ろりぽっぷ!!!!!!!,4,2,0,2
2025-12,9,HELLO,4,1,3,0
2025-12,9,キミノセイ、,4,1,3,0
2025-12,9,SHINY DAYS,4,0,3,1
2025-12,14,MY DREAM MY LIFE,3,1,2,0
2025-12,14,サクラロード,3,0,3,0
2025-12,16,Say Hello!!,2,1,1,0
2025-12,16,BLIND CALL,2,0,2,0
2025-12,16,MADOROMI,2,0,2,0
2025-12,16,むげんの☆Lambie,2,0,2,0
2025-12,20,KAWAIIは正義,1,0,1,0
2025-12,20,推し事～女の子アイドルオタクあるある〜,1,0,1,0
2026-01,1,ぽっぽ♪ポジティブ！！,5,2,2,1
2026-01,1,始まりの宴!!!!!!!,5,1,3,1
2026-01,1,乙女ロック,5,0,5,0
2026-01,4,むげんの☆Lambie,3,2,1,0
2026-01,4,ろりぽっぷ!!!!!!!,3,1,1,1
2026-01,4,推し事～女の子アイドルオタクあるある〜,3,1,1,1
2026-01,4,SHINY DAYS,3,0,2,1
2026-01,4,キミノセイ、,3,0,2,1
2026-01,9,アタックサイン,2,1,1,0
2026-01,9,約束!!!!!!!,2,1,0,1
2026-01,9,主人公!!!!!!!,2,0,1,1
2026-01,9,MY DREAM MY LIFE,2,0,1,1
2026-01,9,サクラロード,2,0,2,0
2026-01,9,Say Hello!!,2,0,2,0
2026-01,9,KAWAIIは正義,2,0,2,0
2026-01,9,Singularity,2,0,2,0
2026-01,17,HELLO,1,0,1,0
2026-01,17,END THE WORLD,1,0,1,0
2026-01,17,MADOROMI,1,0,1,0
2026-02,1,ろりぽっぷ!!!!!!!,6,3,1,2
2026-02,1,始まりの宴!!!!!!!,6,2,1,3
2026-02,1,SHINY DAYS,6,0,4,2
2026-02,4,Unknown,5,1,3,1
2026-02,4,キミノセイ、,5,1,3,1
2026-02,4,ぽっぽ♪ポジティブ！！,5,1,3,1
2026-02,7,END THE WORLD,4,0,4,0
2026-02,7,約束!!!!!!!,4,0,2,2
2026-02,7,アタックサイン,4,0,4,0
2026-02,7,HELLO,4,0,3,1
2026-02,11,推し事～女の子アイドルオタクあるある〜,3,1,2,0
2026-02,11,乙女ロック,3,1,2,0
2026-02,11,Say Hello!!,3,1,2,0
2026-02,11,主人公!!!!!!!,3,0,2,1
2026-02,15,MY DREAM MY LIFE,2,1,1,0
2026-02,15,KAWAIIは正義,2,0,2,0
2026-02,17,Singularity,1,1,0,0
2026-02,17,サクラロード,1,1,0,0
2026-02,17,BLIND CALL,1,0,1,0
2026-02,17,むげんの☆Lambie,1,0,1,0
2026-03,1,ぽっぽ♪ポジティブ！！,6,1,4,1
2026-03,1,始まりの宴!!!!!!!,6,0,4,2
2026-03,3,ろりぽっぷ!!!!!!!,5,3,1,1
2026-03,3,HELLO,5,2,1,2
2026-03,5,アタックサイン,4,2,1,1
2026-03,5,Unknown,4,1,3,0
2026-03,5,♀︎正解の方程式♂,4,1,2,1
2026-03,5,推し事～女の子アイドルオタクあるある〜,4,0,2,2
2026-03,5,MADOROMI,4,0,3,1
2026-03,5,SHINY DAYS,4,0,3,1
2026-03,11,END THE WORLD,3,1,2,0
2026-03,11,約束!!!!!!!,3,1,2,0
2026-03,11,キミノセイ、,3,0,3,0
2026-03,11,むげんの☆Lambie,3,0,3,0
2026-03,15,Singularity,2,2,0,0
2026-03,15,BLIND CALL,2,0,2,0
2026-03,15,主人公!!!!!!!,2,0,0,2
2026-03,15,MY DREAM MY LIFE,2,0,2,0
2026-03,15,サクラロード,2,0,2,0
2026-03,15,Say Hello!!,2,0,2,0
2026-03,15,乙女ロック,2,0,2,0
2026-03,22,KAWAIIは正義,1,0,1,0
